location,bhk,price,sq_feet,latitude,longitude,bhk_num,price_per_sqft
Verna,1 BHK,3500000,4667.0,15.3510255,73.9303722,1.0,749.9464323976858
Verna,Industrial Building,350000000,5398.0,15.3510255,73.9303722,0.0,64838.829195998514
Calangute,Studio Apartment,3500000,10838.0,15.545594,73.7646182,0.0,322.93781140431815
Merces,1 BHK,3500000,4462.0,15.4828297,73.8538551,1.0,784.4016136261766
Ponda,Land,3510000,836.0,15.3979351,74.0079788,0.0,4198.564593301436
Chicalim,1 BHK,3520000,4693.0,15.3918926,73.8344664,1.0,750.0532708288941
Ponda,Land,3570000,975.0,15.3979351,74.0079788,0.0,3661.5384615384614
Bicholim,2 BHK,3600000,4800.0,15.5557695,73.977291,2.0,750.0
Arambol,Land,360000000,2323.0,15.6878815,73.7055986,0.0,154972.01894102455
Tiswadi,1 BHK,3600000,3413.0,15.4904623,73.8838495,1.0,1054.790506885438
Sanquelim,Land,3600000,836.0,15.5626483,74.0114543,0.0,4306.2200956937795
Maharashtra Border,Land,3600000,1115.0,,,0.0,3228.6995515695066
Verna,Land,3600000,1200.0,15.3510255,73.9303722,0.0,3000.0
Majorda,1 BHK,3600000,6081.0,15.3132484,73.9103868,1.0,592.0078934385792
Dabolim,Land,3630000,1394.0,15.3896948,73.8528925,0.0,2604.0172166427546
Thivim,Studio Apartment,3700000,4982.0,15.6298781,73.8770455,0.0,742.6736250501807
Salcete,1 BHK,3700000,5657.0,15.2559657,73.9881845,1.0,654.0569206293088
Porvorim,Studio Apartment,3700000,8384.0,15.5251795,73.8282988,0.0,441.3167938931298
Canca,2 BHK,3700000,3437.0,15.5831807,73.7984276,2.0,1076.5202211230724
Khandola,1 BHK,3700000,6250.0,15.5232252,73.9572591,1.0,592.0
Nuvem,1 BHK,3800000,5198.0,15.308184,73.9480748,1.0,731.050404001539
Karaswada,1 BHK,3800000,5429.0,15.6104102,73.8266444,1.0,699.9447412046418
Nagoa,1 BHK,3800000,5787.0,15.5545419,73.779931,1.0,656.6442025228962
Candolim,1 BHK,3800000,6661.0,15.5201532,73.7659422,1.0,570.484912175349
Sancoale,2 BHK,3800000,4153.0,15.3886307,73.8893336,2.0,915.0012039489526
Goa,2 BHK,3800000,3756.0,15.4989946,73.8282141,2.0,1011.7145899893504
Mapusa,1 BHK,3850000,5500.0,15.590853,73.8102146,1.0,700.0
Guirdolim,Land,3860000,1022.0,15.272496,74.055426,0.0,3776.908023483366
Bicholim,2 BHK,3900000,4253.0,15.5557695,73.977291,2.0,916.9997648718552
Verna,1 BHK,3900000,6038.0,15.3510255,73.9303722,1.0,645.9092414706856
Canconna,1 BHK,3900000,5417.0,,,1.0,719.9556950341517
Marcel,1 BHK,3950000,5734.0,15.5140574,73.9612967,1.0,688.8733868154866
Arpora,Studio Apartment,3960000,8175.0,15.5630974,73.7640368,0.0,484.4036697247706
Betalbatim,1 BHK,3990000,4694.0,15.300881,73.9203,1.0,850.021303792075
Cuncolim,Land,4000000,733.0,15.1801323,73.9978596,0.0,5457.025920873124
Ponda,Office Space,4000000,13289.0,15.3979351,74.0079788,0.0,301.00082775227634
Shiroda,1 BHK,4000000,8333.0,15.3204056,74.0294384,1.0,480.0192007680307
Vasco,2 BHK,4000000,4129.0,15.398403,73.8129178,2.0,968.7575684185033
Sancoale,2 BHK,4000000,4321.0,15.3886307,73.8893336,2.0,925.7116408238834
Sanquelim,2 BHK,4000000,2885.0,15.5626483,74.0114543,2.0,1386.4818024263432
Navelim,2 BHK,4000000,12347.0,15.2565946,73.9664212,2.0,323.9653357090791
Vasco,2 BHK,4000000,4981.0,15.398403,73.8129178,2.0,803.0515960650472
Raia,2 BHK,4000000,7485.0,15.31364,73.9840684,2.0,534.4021376085504
Ponda,Office Space,4000000,13289.0,15.3979351,74.0079788,0.0,301.00082775227634
Vasco,1 BHK,4000000,5161.0,15.398403,73.8129178,1.0,775.0435962022864
Vasco,2 BHK,4000000,8121.0,15.398403,73.8129178,2.0,492.55017854943975
Sanvordem,Land,4000000,731.0,15.2714033,74.1069244,0.0,5471.956224350205
Porvorim,Land,400000000,46450.0,15.5251795,73.8282988,0.0,8611.41011840689
Carambolim Lake,Land,4100000,13500.0,15.4935912,73.9233578,0.0,303.7037037037037
Carambolim Lake,Land,4100000,13500.0,15.4935912,73.9233578,0.0,303.7037037037037
Sancoale,1 BHK,4150000,4882.0,15.3886307,73.8893336,1.0,850.0614502253175
Ponda,2 BHK,4200000,4941.0,15.3979351,74.0079788,2.0,850.0303582270795
Majorda,1 BHK,4200000,6503.0,15.3132484,73.9103868,1.0,645.8557588805166
Khorlim,2 BHK,4200000,4288.0,15.5962895,73.7988996,2.0,979.4776119402985
Mapusa,1 BHK,4200000,14685.0,15.590853,73.8102146,1.0,286.0061287027579
Vasco,1 BHK,4200000,5419.0,15.398403,73.8129178,1.0,775.0507473703635
Panaji,Office Space,4200000,11141.0,15.4989946,73.8282141,0.0,376.98590790772823
Reis Magos,1 BHK,4200000,7362.0,15.4966011,73.8095534,1.0,570.4971475142625
Calangute,Studio Apartment,4200000,8482.0,15.545594,73.7646182,0.0,495.1662343786843
Bicholim,Land,4200000,1419.0,15.5557695,73.977291,0.0,2959.830866807611
Ponda,2 BHK,4200000,4773.0,15.3979351,74.0079788,2.0,879.9497171590194
Kadamba,2 BHK,4290000,4689.0,15.5378654,73.8310444,2.0,914.9072296865003
Curchorem,2 BHK,4300000,4653.0,15.2617381,74.1082756,2.0,924.1349666881582
Quepem,2 BHK,4300000,3733.0,15.2142541,74.0707793,2.0,1151.8885614787034
Ucassaim,3 BHK,4300000,3233.0,15.5815901,73.8415693,3.0,1330.0340241261986
Aquem,2 BHK,4300000,7348.0,15.2722287,73.9700286,2.0,585.1932498639086
Quepem,2 BHK,4300000,4270.0,15.2142541,74.0707793,2.0,1007.0257611241218
Candolim,1 BHK,4300000,5789.0,15.5201532,73.7659422,1.0,742.7880462946969
Cuncolim,Land,4300000,1345.0,15.1801323,73.9978596,0.0,3197.0260223048326
Merces,2 BHK,4340000,4688.0,15.4828297,73.8538551,2.0,925.7679180887372
Calangute,1 BHK,4400000,8800.0,15.545594,73.7646182,1.0,500.0
Sancoale,2 BHK,4400000,4400.0,15.3886307,73.8893336,2.0,1000.0
Calangute,1 BHK,4400000,8765.0,15.545594,73.7646182,1.0,501.9965772960639
Porvorim,2 BHK,4420000,4888.0,15.5251795,73.8282988,2.0,904.2553191489362
Betalbatim,2 BHK,4440000,4687.0,15.300881,73.9203,2.0,947.3010454448474
Utorda,2 BHK,4460000,4695.0,15.3243076,73.9097235,2.0,949.9467518636848
Mapusa,2 BHK,4500000,3800.0,15.590853,73.8102146,2.0,1184.2105263157894
Karaswada,2 BHK,4500000,5501.0,15.6104102,73.8266444,2.0,818.0330848936557
Porvorim,2 BHK,4500000,45918.0,15.5251795,73.8282988,2.0,98.00078400627206
Mapusa,2 BHK,4500000,6000.0,15.590853,73.8102146,2.0,750.0
Seraulim,1 BHK,4500000,6968.0,,,1.0,645.8094144661309
Candolim,Industrial Building,450000000,1900.0,15.5201532,73.7659422,0.0,236842.1052631579
Aldona,1 BHK,4500000,6968.0,15.5896313,73.8710503,1.0,645.8094144661309
Cunchelim,1 BHK,4500000,5972.0,15.6160163,73.8165524,1.0,753.516409912927
Arpora,3 BHK,4500000,2500.0,15.5630974,73.7640368,3.0,1800.0
