Location,BHK,price,sq_feet,latitude,longitude
Old Goa,Land,12200000,2230,15.5023329,73.9117432
Sangolda,2 BHK,12200000,11112,15.5454334,73.8114185
Dabolim,3 BHK,12300000,7259,15.3896948,73.8528925
Calangute,Studio Apartment,12300000,20065,15.545594,73.7646182
Dabolim,2 BHK,12300000,9223,15.3896948,73.8528925
Curchorem,Land,12300000,2200,15.2617381,74.1082756
Dabolim,3 BHK,12300000,7259,15.3896948,73.8528925
Dabolim,2 BHK,12300000,9223,15.3896948,73.8528925
Dabolim,3 BHK,12300000,6014,15.3896948,73.8528925
Porvorim,Land,12400000,4222,15.5251795,73.8282988
Chopdem,1 BHK,12400000,14619,15.6379493,73.7547837
Kadamba Plateau,2 BHK,12400000,9931,15.4893121,73.8911462
Dodamarg,Land,12400000,3849,15.5909842,73.9514952
Sircaim,3 BHK,12500000,5902,15.6244317,73.8788724
Velha,3 BHK,12500000,6352,15.5023329,73.9117432
Kadamba Plateau,2 BHK,12500000,9615,15.4893121,73.8911462
Bainguinim,2 BHK,12500000,9841,15.5003488,73.9022881
Nuvem,3 BHK,12500000,6831,15.308184,73.9480748
Caranzalem,3 BHK,12500000,9216,15.4677228,73.8079977
Calangute,1 BHK,12500000,17085,15.545594,73.7646182
Curtorim,3 BHK,12500000,7444,15.289893,74.0221562
Carmona,Land,12500000,2832,15.1976008,73.9510757
Assagao,2 BHK,12500000,17865,15.5981002,73.7721529
Siolim,1 BHK,12500000,19037,15.6270222,73.7656851
Dabolim,2 BHK,12500000,9221,15.3896948,73.8528925
Dabolim,3 BHK,12500000,7690,15.3896948,73.8528925
Kadamba Plateau,2 BHK,12500000,11612,15.4893121,73.8911462
Old Goa,2 BHK,12500000,11385,15.5023329,73.9117432
Ponda,3 BHK,12500000,7038,15.3979351,74.0079788
Candolim,1 BHK,12500000,17986,15.5201532,73.7659422
Mapsa,2 BHK,12500000,11385,null,null
Dabolim,2 BHK,12500000,9221,15.3896948,73.8528925
Sanquelim,4 BHK,12500000,2903,15.5626483,74.0114543
Dona Paula,2 BHK,12500000,9677,15.4581997,73.8038671
Arpora,1 BHK,12500000,14516,15.5630974,73.7640368
Taleigao,2 BHK,12500000,9677,15.4702665,73.8225674
Caranzalem,3 BHK,12500000,9216,15.4677228,73.8079977
Caranzalem,2 BHK,12500000,9677,15.4677228,73.8079977
Dabolim,2 BHK,12500000,18038,15.3896948,73.8528925
Calangute,1 BHK,12500000,17857,15.545594,73.7646182
Porvorim,2 BHK,12500000,13575,15.5251795,73.8282988
Siolim,1 BHK,12600000,11000,15.6270222,73.7656851
Colvale,2 BHK,12600000,9700,15.6444652,73.836751
Dodamarg,Land,12600000,3911,15.5909842,73.9514952
Calangute,1 BHK,12600000,14353,15.545594,73.7646182
Utorda,Land,12700000,2601,15.3243076,73.9097235
Siolim,1 BHK,12700000,11043,15.6270222,73.7656851
Bicholim,2 BHK,12800000,10667,15.5557695,73.977291
Ponda,Land,12800000,1115,15.3979351,74.0079788
Panjim,2 BHK,12800000,9147,15.4989946,73.8282141
Candolim,2 BHK,12800000,14287,15.5201532,73.7659422
Dabolim,Land,12900000,8600,15.3896948,73.8528925
Caranzalem,2 BHK,13000000,11612,15.4677228,73.8079977
Sancoale,3 BHK,13000000,8051,15.3886307,73.8893336
Miramar,2 BHK,13000000,21304,15.4827569,73.8093495
Calangute,1 BHK,13000000,166667,15.545594,73.7646182
Porvorim,2 BHK,13000000,10484,15.5251795,73.8282988
Siolim,1 BHK,13000000,17747,15.6270222,73.7656851
Calangute,1 BHK,13000000,20000,15.545594,73.7646182
Porvorim,2 BHK,13000000,13575,15.5251795,73.8282988
Siolim,2 BHK,13000000,16250,15.6270222,73.7656851
Cuncolim,3 BHK,13000000,9630,15.1801323,73.9978596
Calangute,1 BHK,13000000,17857,15.545594,73.7646182
Velha,3 BHK,13000000,6672,15.5023329,73.9117432
Siolim,1 BHK,13000000,21667,15.6270222,73.7656851
Calangute,1 BHK,13000000,18868,15.545594,73.7646182
Calangute,1 BHK,13000000,17287,15.545594,73.7646182
Dona Paula,2 BHK,13000000,19580,15.4581997,73.8038671
Fatorda,3 BHK,13000000,9740,15.2981753,73.9715379
Kadamba Plateau,2 BHK,13000000,8784,15.4893121,73.8911462
Ribandar,3 BHK,13000000,7692,15.502891,73.866032
Porvorim,1 BHK,13000000,13575,15.5251795,73.8282988
Dabolim,3 BHK,13000000,7893,15.3896948,73.8528925
Miramar,2 BHK,13000000,21304,15.4827569,73.8093495
Siolim,3 BHK,13000000,9194,15.6270222,73.7656851
Assagao,1 BHK,13000000,20968,15.5981002,73.7721529
Calangute,1 BHK,13000000,15134,15.545594,73.7646182
Fatorda,Office Space,13000000,9292,15.2981753,73.9715379
Karapur,Land,13000000,2684,15.5635097,73.9883604
Sancoale,3 BHK,13000000,8051,15.3886307,73.8893336
Bainguinim,Land,13100000,4168,15.5003488,73.9022881
Dona Paula,2 BHK,13200000,13329,15.4581997,73.8038671
Mopa Airport,Land,13200000,412,15.7329414,73.8722244
Davorlim,3 BHK,13200000,3618,null,null
Curtorim,Land,13300000,1765,15.289893,74.0221562
Siolim,1 BHK,13300000,17747,15.6270222,73.7656851
Bicholim,2 BHK,13300000,11083,15.5557695,73.977291
Revora,Land,13400000,1486,15.6566956,73.8464744
Porvorim,3 BHK,13400000,8898,15.5251795,73.8282988
Revora,Land,13400000,16000,15.6566956,73.8464744
Ponda,3 BHK,13500000,8832,15.3979351,74.0079788
Panjim,3 BHK,13500000,8361,15.4989946,73.8282141
Margao,3 BHK,13500000,9088,15.272923,73.9583159
Miramar,2 BHK,13500000,10539,15.4827569,73.8093495
Canca,3 BHK,13500000,7046,15.5831807,73.7984276
Arpora,1 BHK,13500000,12273,15.5630974,73.7640368
Siolim,2 BHK,13500000,17747,15.6270222,73.7656851
Calangute,1 BHK,13500000,20769,15.545594,73.7646182
Caranzalem,2 BHK,13500000,10033,15.4677228,73.8079977
Siolim,1 BHK,13500000,13818,15.6270222,73.7656851
Panjim,2 BHK,13500000,11709,15.4989946,73.8282141
Canca,3 BHK,13500000,7046,15.5831807,73.7984276
Arpora,2 BHK,13500000,13946,15.5630974,73.7640368
Reis Magos,1 BHK,13500000,15698,15.4966011,73.8095534
Candolim,1 BHK,13500000,18000,15.5201532,73.7659422
Porvorim,3 BHK,13500000,13575,15.5251795,73.8282988
Porvorim,2 BHK,13500000,13575,15.5251795,73.8282988
Calangute,1 BHK,13500000,20149,15.545594,73.7646182
Dona Paula,2 BHK,13500000,10033,15.4581997,73.8038671
Panjim,4 BHK,13500000,5726,15.4989946,73.8282141
Dabolim,3 BHK,13500000,6750,15.3896948,73.8528925
Panjim,2 BHK,13600000,9645,15.4989946,73.8282141
Candolim,2 BHK,13700000,15155,15.5201532,73.7659422
Siolim,1 BHK,13700000,10916,15.6270222,73.7656851
Calangute,1 BHK,13800000,19135,15.545594,73.7646182
Calangute,1 BHK,13800000,19723,15.545594,73.7646182
Porvorim,2 BHK,13900000,10414,15.5251795,73.8282988
Calangute,1 BHK,13900000,19857,15.545594,73.7646182
Chorao,Land,14000000,2099,15.5473117,73.8777787
Porvorim,2 BHK,14000000,9290,15.5251795,73.8282988
Ribandar,2 BHK,14000000,11068,15.502891,73.866032
Porvorim,3 BHK,14000000,9284,15.5251795,73.8282988
Panjim,2 BHK,14000000,11612,15.4989946,73.8282141
Colvale,2 BHK,14000000,10000,15.6444652,73.836751
Caranzalem,2 BHK,14000000,14042,15.4677228,73.8079977
Sanvordem,Land,14000000,565,15.2714033,74.1069244
Nerul,1 BHK,14000000,17500,15.5093392,73.7846696
Candolim,1 BHK,14000000,20319,15.5201532,73.7659422
Bambolim,2 BHK,14000000,13691,15.4549212,73.8464479
Caranzalem,2 BHK,14000000,11612,15.4677228,73.8079977
Caranzalem,2 BHK,14000000,11717,15.4677228,73.8079977
Calangute,1 BHK,14000000,17880,15.545594,73.7646182
Siolim,1 BHK,14000000,16260,15.6270222,73.7656851
Kadamba Plateau,2 BHK,14000000,15556,15.4893121,73.8911462
Nerul,Studio Apartment,14000000,17500,15.5093392,73.7846696
Caranzalem,2 BHK,14000000,11717,15.4677228,73.8079977
Bogmalo Beach,Land,14100000,2495,15.369678,73.8338775
Calangute,1 BHK,14200000,17857,15.545594,73.7646182
Cavelossim,4 BHK,14300000,5729,15.1845618,73.9456314
Cavelossim,4 BHK,14300000,5729,15.1845618,73.9456314
Morjim,3 BHK,14300000,5728,15.6294635,73.7358315
Dabolim,3 BHK,14300000,9533,15.3896948,73.8528925
Dabolim,3 BHK,14300000,9527,15.3896948,73.8528925
Anjuna,1 BHK,14300000,20649,15.5850408,73.7438151
Porvorim,3 BHK,14300000,7000,15.5251795,73.8282988
Bogmalo Beach,3 BHK,14300000,5728,15.369678,73.8338775
Navelim,3 BHK,14500000,8419,15.2565946,73.9664212
Navelim,4 BHK,14500000,7203,15.2565946,73.9664212
Arpora,2 BHK,14500000,15135,15.5630974,73.7640368
Candolim,1 BHK,14500000,21048,15.5201532,73.7659422
Calangute,2 BHK,14500000,8450,15.545594,73.7646182
Porvorim,2 BHK,14500000,10362,15.5251795,73.8282988
Calangute,1 BHK,14500000,17968,15.545594,73.7646182
Candolim,1 BHK,14500000,17059,15.5201532,73.7659422
Assagao,1 BHK,14500000,19244,15.5981002,73.7721529
Kadamba Plateau,2 BHK,14500000,12257,15.4893121,73.8911462
Mapusa,2 BHK,14500000,10902,15.590853,73.8102146
Arpora,2 BHK,14500000,20001,15.5630974,73.7640368
Porvorim,2 BHK,14500000,10863,15.5251795,73.8282988
Bicholim,2 BHK,14500000,11197,15.5557695,73.977291
Porvorim,2 BHK,14500000,13575,15.5251795,73.8282988
Cuncolim,Land,14700000,12000,15.1801323,73.9978596
Revora,Land,14800000,836,15.6566956,73.8464744
Calangute,1 BHK,14800000,17857,15.545594,73.7646182
Revora,Land,14800000,836,15.6566956,73.8464744
Calangute,1 BHK,14900000,16556,15.545594,73.7646182
Colvale,3 BHK,14900000,92547,15.6444652,73.836751
Siolim,1 BHK,15000000,17165,15.6270222,73.7656851
Siolim,2 BHK,15000000,17747,15.6270222,73.7656851
Calangute,2 BHK,15000000,12500,15.545594,73.7646182
Porvorim,3 BHK,15000000,9290,15.5251795,73.8282988
Benaulim,4 BHK,15000000,11612,15.2601367,73.9275675
Velsao,3 BHK,15000000,9290,15.354467,73.8839713
Sancoale,2 BHK,15000000,12500,15.3886307,73.8893336
Marcel,3 BHK,15000000,7732,15.5140574,73.9612967
Vagator,2 BHK,15000000,11148,15.5985735,73.7408126
Kadamba Plateau,3 BHK,15000000,9960,15.4893121,73.8911462
Arpora,2 BHK,15000000,14423,15.5630974,73.7640368
Sanguem,Land,15000000,155,15.2282657,74.1512667
Nerul,2 BHK,15000000,18228,15.5093392,73.7846696
Candolim,2 BHK,15000000,14287,15.5201532,73.7659422
Kadamba Plateau,2 BHK,15000000,13271,15.4893121,73.8911462
Maharashtra Border,Land,15000000,926,null,null
Dona Paula,2 BHK,15000000,19580,15.4581997,73.8038671
Porvorim,2 BHK,15000000,12000,15.5251795,73.8282988
Porvorim,2 BHK,15000000,12000,15.5251795,73.8282988
Calangute,1 BHK,15000000,22727,15.545594,73.7646182
Panaji,2 BHK,15000000,12554,15.4989946,73.8282141
Thivim,2 BHK,15000000,12448,15.6298781,73.8770455
Colva,3 BHK,15000000,9375,15.278266,73.9197099
Margao,4 BHK,15000000,2629,15.272923,73.9583159
Kadamba Plateau,2 BHK,15000000,12668,15.4893121,73.8911462
Porvorim,3 BHK,15000000,9954,15.5251795,73.8282988
Margao,3 BHK,15000000,9290,15.272923,73.9583159
Curca,3 BHK,15000000,5684,15.4608194,73.8778694
Vasco,Office Space,15000000,9954,15.398403,73.8129178
Kadamba Plateau,3 BHK,15000000,12500,15.4893121,73.8911462
Vasco,3 BHK,15000000,8047,15.398403,73.8129178
Porvorim,2 BHK,15000000,13575,15.5251795,73.8282988
Kadamba Plateau,2 BHK,15000000,13935,15.4893121,73.8911462
Benaulim,2 BHK,15000000,8994,15.2601367,73.9275675
Calangute,1 BHK,15000000,23225,15.545594,73.7646182
Pernem,Land,15000000,221,15.7089964,73.8167602
Kadamba Plateau,2 BHK,15000000,11148,15.4893121,73.8911462
Valpoi,Land,15000000,387,15.531466,74.1372751
Dona Paula,2 BHK,15000000,11329,15.4581997,73.8038671
Panjim,2 BHK,15000000,11612,15.4989946,73.8282141
Kadamba Plateau,2 BHK,15000000,12668,15.4893121,73.8911462
Carmona,3 BHK,15000000,6342,15.1976008,73.9510757
Loutolim,Land,15000000,15000,15.3400173,73.9860024
Colva,2 BHK,15000000,12799,15.278266,73.9197099
Kadamba Plateau,2 BHK,15000000,11148,15.4893121,73.8911462
Dabolim,3 BHK,15000000,8444,15.3896948,73.8528925
Betalbatim,Land,15000000,20134,15.300881,73.9203
Dona Paula,3 BHK,15000000,19580,15.4581997,73.8038671
Aldona,Land,15000000,871,15.5896313,73.8710503
Benaulim,2 BHK,15000000,8994,15.2601367,73.9275675
Taligao,2 BHK,15000000,14970,15.477811,73.82054
Margao,Land,15200000,2601,15.272923,73.9583159
Margao,2 BHK,15200000,11736,15.272923,73.9583159
Benaulim,4 BHK,15200000,11767,15.2601367,73.9275675
Sasoli,Land,15200000,1382,null,null
Calangute,1 BHK,15300000,17857,15.545594,73.7646182
Chopdem,1 BHK,15400000,12024,15.6379493,73.7547837
Taleigao,2 BHK,15500000,12521,15.4702665,73.8225674
Kadamba Plateau,2 BHK,15500000,114815,15.4893121,73.8911462
Nerul,2 BHK,15500000,12000,15.5093392,73.7846696
Camurlim,3 BHK,15500000,5962,15.6446615,73.8018179
Nerul,2 BHK,15500000,13362,15.5093392,73.7846696
Calangute,2 BHK,15500000,17857,15.545594,73.7646182
Calangute,1 BHK,15500000,17857,15.545594,73.7646182
Calangute,2 BHK,15500000,9394,15.545594,73.7646182
Calangute,2 BHK,15500000,11071,15.545594,73.7646182
Calangute,1 BHK,15500000,17857,15.545594,73.7646182
Arpora,1 BHK,15500000,20001,15.5630974,73.7640368
Dona Paula,2 BHK,15500000,11707,15.4581997,73.8038671
Porvorim,3 BHK,15500000,7143,15.5251795,73.8282988
Candolim,2 BHK,15500000,14287,15.5201532,73.7659422
Anjuna,Land,15600000,557,15.5850408,73.7438151
Margao,2 BHK,15700000,12466,15.272923,73.9583159
Dabolim,3 BHK,15700000,9203,15.3896948,73.8528925
Dabolim,3 BHK,15700000,9203,15.3896948,73.8528925
Verna,3 BHK,15800000,5581,15.3510255,73.9303722
Porvorim,4 BHK,16000000,13575,15.5251795,73.8282988
Assagao,2 BHK,16000000,12925,15.5981002,73.7721529
Porvorim,2 BHK,16000000,11434,15.5251795,73.8282988
Morjim,2 BHK,16000000,13333,15.6294635,73.7358315
Canca,3 BHK,16000000,9290,15.5831807,73.7984276
Porvorim,3 BHK,16000000,13575,15.5251795,73.8282988
Riverdale,Land,16000000,1111,null,null
Porvorim,3 BHK,16000000,7373,15.5251795,73.8282988
Porvorim,2 BHK,16000000,11800,15.5251795,73.8282988
Arpora,2 BHK,16000000,14023,15.5630974,73.7640368
Siolim,3 BHK,16000000,13637,15.6270222,73.7656851
Betalbatim,2 BHK,16000000,9913,15.300881,73.9203
Caranzalem,3 BHK,16000000,14042,15.4677228,73.8079977
Dhargalim,Land,16000000,3861,15.6707263,73.8438631
Dabolim,3 BHK,16000000,9204,15.3896948,73.8528925
Calangute,1 BHK,16000000,19753,15.545594,73.7646182
Divar Island,2 BHK,16000000,2316,15.5250877,73.9078163
Candolim,2 BHK,16000000,17487,15.5201532,73.7659422
Siolim,1 BHK,16000000,11434,15.6270222,73.7656851
Porvorim,2 BHK,16000000,12597,15.5251795,73.8282988
Colva,3 BHK,16000000,10909,15.278266,73.9197099
Dabolim,3 BHK,16000000,8494,15.3896948,73.8528925
Sancoale,Land,16000000,4938,15.3886307,73.8893336
Pernem,Land,16000000,4464,15.7089964,73.8167602
Dabolim,3 BHK,16000000,9204,15.3896948,73.8528925
Caranzalem,3 BHK,16000000,9290,15.4677228,73.8079977
Candolim,2 BHK,16500000,13750,15.5201532,73.7659422
Candolim,2 BHK,16500000,16500,15.5201532,73.7659422
Calangute,2 BHK,16500000,12781,15.545594,73.7646182
Mapusa,3 BHK,16500000,9781,15.590853,73.8102146
Arpora,2 BHK,16500000,20001,15.5630974,73.7640368
Ribandar,2 BHK,16500000,11791,15.502891,73.866032
Kadamba Plateau,2 BHK,16500000,9167,15.4893121,73.8911462
Sancoale,3 BHK,16500000,9763,15.3886307,73.8893336
Porvorim,3 BHK,16500000,7064,15.5251795,73.8282988
Arpora,2 BHK,16500000,12222,15.5630974,73.7640368
Calangute,1 BHK,16600000,17857,15.545594,73.7646182
Anjuna,1 BHK,16600000,20649,15.5850408,73.7438151
Dabolim,4 BHK,16700000,8444,15.3896948,73.8528925
Candolim,2 BHK,17000000,16451,15.5201532,73.7659422
Arpora,2 BHK,17000000,170000,15.5630974,73.7640368
Guirim,2 BHK,17000000,22078,15.5670553,73.8036817
Sancoale,2 BHK,17000000,7288,15.3886307,73.8893336
Thivim,Land,17000000,2340,15.6298781,73.8770455
Dabolim,Land,17000000,6169,15.3896948,73.8528925
Siolim,2 BHK,17000000,15041,15.6270222,73.7656851
Sancoale,2 BHK,17000000,10189,15.3886307,73.8893336
Sancoale,2 BHK,17000000,7288,15.3886307,73.8893336
Porvorim,2 BHK,17000000,12077,15.5251795,73.8282988
Siolim,3 BHK,17000000,17747,15.6270222,73.7656851
Dabolim,4 BHK,17300000,6794,15.3896948,73.8528925
Calangute,2 BHK,17300000,17857,15.545594,73.7646182
Calangute,2 BHK,17300000,17857,15.545594,73.7646182
